PQGram,Count
stage:userDef|{sprite:userDef}|*|script,3
sprite:userDef|script|{doWait}|*|literal:userDef|*|*,8
script|{doWait}|*|*|literal:userDef,38
"*|snapshot|{stage:userDef}|script|sprite:userDef|sprite:userDef|sprite:userDef",1
"{show}|*|*|*|*",1
"{doSetVar}|literal:userDef|*",53
sprite:userDef|script|{doWait}|literal:userDef|*|*,36
stage:userDef|sprite:userDef|{script}|receiveGo|doSetVar,3
script|{doChangeVar}|literal:userDef|*|*,14
sprite:userDef|{script}|doWait|doSetVar,51
"{doSetVar}|literal:userDef|*",43
sprite:userDef|script|{doSetVar}|literal:userDef|*|*,36
script|{doSetVar}|literal:userDef|*|*|*,25
script|{doWait}|*|*|*|literal:userDef,35
sprite:userDef|script|{doSetVar}|literal:userDef|*|*|*,21
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef|literal:userDef,37
