PQGram,Count
"{sprite:userDef}|script",21
sprite:userDef|{script}|hide,2
sprite:userDef|{script}|*|receiveMessage|show|*,2
script|doUntil|{script}|doAsk|doIf|*|*,5
script|{gotoXY}|*|literal:userDef|literal:userDef,2
"{script}|doSwitchToCostume|*",5
doForever|script|{doIf}|reportAnd|script|*,1
doIf|{reportEquals}|*|getLastAnswer,3
"{script}|hide|*",4
stage:userDef|sprite:userDef|{script}|*|receiveMessage,12
"{snapshot}|stage:userDef|customBlock:userDef|varDec:userDef",1
sprite:userDef|script|{doIf}|script,3
stage:userDef|sprite:userDef|{script}|doSetVar|doUntil|doIf,1
"{script}|*|doAsk|doIf|*",3
"{receiveMessage}|literal:userDef",16
"{reportRandom}|*|*|literal:userDef",1
script|doForever|{script}|doIf|doIf|*|*,2
reportEquals|{reportSum}|var:userDef|*,16
stage:userDef|{sprite:userDef}|script|script,6
"{reportSum}|var:userDef",7
reifyScript|script|{doSwitchToCostume}|literal:userDef,4
"{doSayFor}|literal:userDef",46
doIf|reportAnd|{reportLessThan}|*|*|var:userDef,2
doIf|script|{doBroadcast}|*|literal:userDef|*|*,6
"{doHideVar}|*|varMenu:userDef",6
sprite:userDef|script|{setHeading}|*|literal:userDef,2
reportEquals|{reportSum}|*|*|*|var:userDef,11
stage:userDef|sprite:userDef|{script}|doSetVar|show,2
"{reifyScript}|list",2
sprite:userDef|script|{receiveMessage}|literal:userDef,6
script|doUntil|{reportEquals}|getLastAnswer|reportSum,6
"{reportJoinWords}|*|*|list",6
sprite:userDef|script|{doIf}|reportEquals|script,2
script|doIf|{reportEquals}|*|*|*|getLastAnswer,2
"{reportNot}|*|reportEquals|*|*",6
stage:userDef|{script}|doSetVar|*,1
"{gotoXY}|literal:userDef|*|*",2
"{reportSum}|var:userDef",4
"{doSwitchToCostume}|literal:userDef",19
script|{doSayFor}|*|literal:userDef,1
doIf|{reportEquals}|reportSum|*|*,5
script|{doShowVar}|*|*|varMenu:userDef,1
"{reportLessThan}|literal:userDef",4
script|setScale|{literal:userDef}|*|*,1
stage:userDef|sprite:userDef|{script}|*|receiveMessage|hide|*,2
"{snapshot}|stage:userDef",1
sprite:userDef|{script}|doUntil|doIf,5
sprite:userDef|script|{doTellTo}|list|*|*|*,2
reportJoinWords|list|{reportJoinWords}|*|*|list,3
doSetVar|{reportRandom}|*|*|literal:userDef,7
script|{doSetVar}|varMenu:userDef,14
"{gotoXY}|literal:userDef|*|*|*",10
"{doSayFor}|*|*|literal:userDef",16
script|doIf|{reportEquals}|*|getLastAnswer|reportSum,6
"{doUntil}|*|*|reportEquals",5
"{doSetVar}|reportRandom|*",3
doTellTo|reifyScript|{script}|doSwitchToCostume|*,4
"{gotoXY}|literal:userDef|*",4
script|{doChangeVar}|literal:userDef|*,3
stage:userDef|sprite:userDef|{script}|doSayFor|doUntil|doIf|*,3
doUntil|script|{doAsk}|reportJoinWords|*,4
"{doSayFor}|literal:userDef",44
stage:userDef|sprite:userDef|{script}|*|receiveMessage,6
stage:userDef|sprite:userDef|{script}|show,17
doIf|script|{doSayFor}|literal:userDef|literal:userDef|*|*,8
"{list}|*|*|var:userDef|reportJoinWords",5
"{doRepeat}|literal:userDef|script|*",2
"{list}|*|*|literal:userDef",1
script|{doSayFor}|literal:userDef|*,10
"{receiveMessage}|literal:userDef",17
script|doIf|{reportEquals}|getLastAnswer|reportSum|*|*,4
"{script}|doSetVar|doSetVar|*|*",2
"{reportEquals}|getLastAnswer|reportSum",16
sprite:userDef|script|{receiveMessage}|*|*|literal:userDef,17
script|{gotoXY}|*|literal:userDef|literal:userDef,8
script|{doGlide}|literal:userDef,6
script|doIf|{reportAnd}|reportLessThan|*,1
script|doAsk|{reportJoinWords}|*|list|*|*,3
stage:userDef|{sprite:userDef}|*|*|*|script,2
script|{doShowVar}|varMenu:userDef|*|*|*,1
doIf|script|{doSayFor}|*|*|*|literal:userDef,6
script|{receiveMessage}|*|literal:userDef|*,10
script|{doSwitchToCostume}|*|*|*|literal:userDef,19
"{script}|receiveMessage|doStopThis|gotoXY|setHeading",1
sprite:userDef|{script}|doBroadcast|*|*|*,5
reportJoinWords|{list}|*|literal:userDef|var:userDef|*,5
"{setHeading}|*|*|*|literal:userDef",2
"{script}|*|*|receiveMessage",26
doIf|reportEquals|{reportSum}|*|var:userDef|var:userDef|*,4
"*|*|{snapshot}|varDec:userDef",2
"{doSetVar}|varMenu:userDef|reportRandom|*",5
sprite:userDef|{script}|receiveMessage|show,2
sprite:userDef|{script}|show,2
"{script}|doHideVar|doStopThis|*",1
"{reportLessThan}|literal:userDef|*",2
"{reportLessThan}|*|*|var:userDef",2
sprite:userDef|script|{gotoXY}|literal:userDef|*|*|*,7
"{reportEquals}|*|getLastAnswer|reportSum|*",14
"{script}|doStopThis|*|*",2
sprite:userDef|script|{doSayFor}|*|*|literal:userDef,9
script|{doChangeVar}|varMenu:userDef,6
"{receiveMessage}|*|literal:userDef|*",1
list|{reportJoinWords}|*|list|*,1
