,,,,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1283200d0>,3,2,100,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1283200d0>,3,2,100,0.1,,,,,,,,,,,,,,,,,,,,,0.37499999999999994,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1283200d0>,3,2,100,0.2,,,,,,,,,,,,,,,,,,,,,0.0,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1283200d0>,3,2,100,0.3,,,,,,,,,,,,,,,,,,,,,0.37499999999999994,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1283200d0>,3,2,100,0.4,,,,,,,,,,,,,,,,,,,,,0.0,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1283200d0>,3,2,100,0.5,,,,,,,,,,,,,,,,,,,,,0.0,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320d50>,1,1,100,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320d50>,1,1,100,0.1,,,,,,,,,,,,,,,,,,,,,,0.0,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320d50>,1,1,100,0.2,,,,,,,,,,,,,,,,,,,,,,0.0,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320d50>,1,1,100,0.3,,,,,,,,,,,,,,,,,,,,,,0.0,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128320d50>,1,1,100,0.4,,,,,,,,,,,,,,,,,,,,,,0.0,,,
