name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.20: [script, setYPosition, {literal:userDef}, *]",139,0.2,0,-1.0,-1.0,-1.0
"0.30: [script, doGotoObject, {literal:userDef}, *]",140,0.3,0,-1.0,-1.0,-1.0
"0.56: [script, setScale, {literal:userDef}, *]",141,0.5588235294117647,0.4271356783919598,-1.0,-1.0,-1.0
"0.13: [script, doIf, {literal:userDef}, *]",142,0.12941176470588237,0,-1.0,-1.0,-1.0
"0.27: [reportAnd, reportEquals, {literal:userDef}, *]",143,0.27058823529411763,0.17587939698492464,-1.0,-1.0,-1.0
"0.26: [doIf, reportKeyPressed, {literal:userDef}, *]",144,0.2647058823529412,0,-1.0,-1.0,-1.0
"0.19: [reportNot, reportTouchingObject, {literal:userDef}, *]",145,0.18823529411764706,0,-1.0,-1.0,-1.0
"0.40: [doIfElse, reportLessThan, {literal:userDef}, *]",146,0.4,0.18090452261306533,-1.0,-1.0,-1.0
"0.88: [script, doSwitchToCostume, {literal:userDef}, *]",147,0.8823529411764706,0.7738693467336684,-1.0,-1.0,-1.0
"0.25: [script, doSayFor, {literal:userDef}, *]",148,0.24705882352941178,0.2964824120603015,-1.0,-1.0,-1.0
"0.15: [reportSum, reportProduct, {literal:userDef}, *]",149,0.15294117647058825,0.11557788944723618,-1.0,-1.0,-1.0
"0.13: [doIfElse, reportTouchingObject, {literal:userDef}, *]",150,0.12941176470588237,0,-1.0,-1.0,-1.0
"0.41: [script, doGlide, {literal:userDef}, *]",151,0.4117647058823529,0.2964824120603015,-1.0,-1.0,-1.0
"0.17: [script, goBack, {literal:userDef}, *]",152,0.17058823529411765,0.11055276381909548,-1.0,-1.0,-1.0
"0.19: [doSetVar, reportRandom, {literal:userDef}, *]",153,0.18823529411764706,0.1407035175879397,-1.0,-1.0,-1.0
"0.19: [reportEquals, reportAttributeOf, {literal:userDef}, *]",154,0.19411764705882353,0.16080402010050251,-1.0,-1.0,-1.0
"0.18: [doUntil, reportLessThan, {literal:userDef}, *]",155,0.17647058823529413,0.135678391959799,-1.0,-1.0,-1.0
"0.11: [doWaitUntil, reportTouchingObject, {literal:userDef}, *]",156,0.10588235294117647,0,-1.0,-1.0,-1.0
"0.11: [script, doAddToList, {literal:userDef}, *]",157,0.11176470588235295,0,-1.0,-1.0,-1.0
"0.14: [script, turnLeft, {literal:userDef}, *]",158,0.1411764705882353,0.135678391959799,-1.0,-1.0,-1.0
"0.58: [doIf, reportEquals, {literal:userDef}, *]",159,0.5764705882352941,0.35678391959798994,-1.0,-1.0,-1.0
"0.12: [doUntil, reportTouchingObject, {literal:userDef}, *]",160,0.11764705882352941,0,-1.0,-1.0,-1.0
"0.15: [reportJoinWords, list, {literal:userDef}, *]",161,0.15294117647058825,0.10050251256281408,-1.0,-1.0,-1.0
"0.89: [script, gotoXY, {literal:userDef}, *]",162,0.888235294117647,0.6884422110552764,-1.0,-1.0,-1.0
"0.68: [script, receiveMessage, {literal:userDef}, *]",163,0.6823529411764706,0.5778894472361809,-1.0,-1.0,-1.0
"0.33: [reportOr, reportTouchingObject, {literal:userDef}, *]",164,0.32941176470588235,0,-1.0,-1.0,-1.0
